MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21530491,5300000,85637,-1.103.782,31.356.362,2154,5272,1941,13,10,10500,0,"Dishwasher, Freezer, Refrigerator, Oven",6,"Mexican Tile, Wood",0
21529082,4200000,85646,-111.045.371,31.594.213,1707,10422.36,1997,2,2,7300,0,"Dishwasher, Garbage Disposal",5,"Natural Stone, Other",0
3054672,4200000,85646,-111.040.707,31.594.844,1707,10482,1997,2,3,None,None,"Dishwasher, Garbage Disposal, Refrigerator",5,"Natural Stone, Other: Rock",None
21919321,4500000,85646,-111.035.925,31.645.878,636.67,8418.58,1930,7,5,9019,4,"Dishwasher, Double Sink, Pantry: Butler, Refrigerator",4,"Ceramic Tile, Laminate, Wood",None
21306357,3411450,85750,-110.813.768,32.285.162,3.21,15393,1995,4,6,6396,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Concrete",55
21528016,3250000,85718,-110.910.593,3.233.909,1.67,27802.84,1999,3,4,6842,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Natural Stone, Wood, Other",422
21610478,2400000,85712,-110.883.315,32.261.069,2.1,19038.42,2001,9,8,12025,4,"Dishwasher, Garbage Disposal, Oven",6,"Carpet, Natural Stone, Wood, Other",0
21211741,2500000,85750,-110.861.002,32.331.603,01.07,21646,2011,6,8,8921,4,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone, Wood",220
21324646,3700000,85718,-110.912.156,32.343.601,6.73,25094.39,2002,5,7,5238,3,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone, Wood, Other",421
21812010,3250000,85750,-11.083.795,32.327.575,3.53,18936.11,2007,5,6,6480,3,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: CORIAN, Microwave: Built In, Oven: Built In",2,"Carpet, Concrete",141.67
21900396,2776518,85640,-111.045.441,31.562.121,147.18,7330.36,1935,5,5,5067,5,"Freezer, Refrigerator, Appliance Color: Stainless, Countertops: wood and granite, Oven: 2 ovens-Main 1-GH",5,"Concrete, Natural Stone, Wood",None
21131956,2050000,85718,-110.918.294,32.341.609,1.65,24353,2009,5,6,7230,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone, Wood",357
21217839,2100000,85637,-110.736.202,31.721.347,29.6,11723,1995,6,7,6454,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Mexican Tile, Natural Stone, Wood",0
21625369,2200000,85658,-111.049.837,32.483.063,1.82,5198.58,2015,4,6,5826,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Natural Stone,148
21534099,3000000,85739,-110.883.068,32.508.778,0,29669,2008,3,3,3095,0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",20
21225585,2600000,85739,-110.883.252,32.507.699,0,18044,2008,3,3,3095,0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",0
21700487,3000000,85750,-110.843.588,32.327.533,3.1,24040.26,2002,3,6,7756,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Black, Countertops: Granite",3,"Carpet, Natural Stone",142
21300933,2500000,85718,-110.942.458,32.350.702,1.25,19565.2,2010,4,5,5338,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone",173
